genes	Pt1	Pt2	Pt4	Pt5	Pt6	Pt7	Pt8	Pt9	Pt10	Pt12	Pt13	Pt14	Pt15	Pt19	Pt20	Pt22	Pt23	Pt25	Pt27	Pt27.1	Pt28	Pt29	Pt31	Pt32	Pt35	Pt37	Pt38
KCNMA1	8.32393410616895	9.81845138336941	7.71361912080725	8.68164370870431	8.90309778904005	6.95901108947853	8.17891364178271	8.16675196571112	12.6748186550107	11.0037305137386	9.15980901316316	12.4988543893835	8.78937647609166	8.85603821328855	10.4257724238713	9.7035559200946	9.53708642363915	9.77386959984027	8.55900303651159	7.87182241429871	6.73508702799538	9.49931770352802	8.16422997029008	9.95805454911451	8.22302135688561	8.52029156713565	9.36472225450683
OLIG1	6.588539815291	11.9950099079437	2.90261263469752	11.5132505508773	7.75218600824586	1.10662085458724	11.0575644129549	9.49729885360361	7.10773922109783	6.39044503871216	7.65739262537457	1.4100908064671	6.52826277295523	9.4295308329538	4.15770488942221	6.59963280032468	4.02813687930831	6.42478525265813	10.3448485603625	10.3093057863246	6.42799354489764	8.99121605016919	5.20666016107906	0	5.98377614436947	8.82828706043617	9.47082554935602
RASL11B	3.76194152170725	0	2.90261263469752	2.57895925562171	2.56685217996292	4.44369427068941	2.24812461096631	2.07890240627527	3.59507363035789	4.64203707815947	1.28690394902998	2.57836313396728	1.58813249900551	2.80835986131617	2.38184939109038	5.00141977436545	2.96471576980321	2.45128887891453	3.42412503534766	2.95009088863829	1.43406095013454	1.88626619796695	2.50749463432329	7.62041181349287	2.55236781714934	1.91609077397972	1.6305901636256
MMP13	7.60572811959249	0	0.855769840549742	9.90743486884213	10.5812181904814	9.92334989229915	5.5238061816069	4.99813339997718	13.0802383477429	8.37748910363008	3.15707801411927	6.61013556990682	4.52810804487573	6.47689262475979	3.0036155669009	8.15286049547549	12.444717139934	5.92094265130515	2.85949556294296	4.68196928015218	8.57197973260772	0	8.07511648390788	16.9537347450715	7.72916367847397	5.15683669936923	5.3516117602811
NAA11	8.16014186793629	0	0	11.4009485598732	3.69611443154724	0	0	1.19531148479184	3.24432446677242	0.999052832258419	0.78242473793837	0	0	2.80835986131617	1.26544579026993	0.783802738879619	0	0	9.59649377120454	9.92047374936392	0	0.925182250848465	2.04411835869915	1.15788240152613	0	1.25519568180171	1.03435531880744
GABRA2	9.87167263458637	5.14622389166964	0	1.41053740898091	2.56685217996292	0	1.52372477768391	6.16885956375873	10.7130910287386	7.47384912601908	8.52438434675945	3.77692495229768	0	1.58574418063149	1.26544579026993	4.86516933279975	7.0814316590776	3.31296854775275	3.22396105146327	1.31910116782648	0	0	3.57709530977722	8.63472958874745	0	1.25519568180171	3.38319052176268
ROS1	0.73237978558836	0	0	0	2.1756733370547	1.10662085458724	1.52372477768391	2.07890240627527	7.98117351190497	8.57175720666234	3.56075031556845	3.29868872866094	0	0	4.26695086136924	4.35648893157573	3.24920181973575	1.31596125009476	4.02648074252902	1.31910116782648	5.65420085846075	10.723641602789	3.37471050594597	2.23078411679353	0	0	1.03435531880744
ATG2A	10.2796879384666	10.6794261587853	10.6984827009627	11.0501113705855	11.5610613552027	10.165710642374	10.9302475869737	10.4904910243484	10.0470283130909	10.0093341350953	10.5313030896191	10.630819687944	11.1506824412476	12.6777904456922	10.5566055721054	10.6939179773932	9.77563305028255	10.6189489669522	10.8937715242099	10.9363353811558	11.5400829843424	10.3291925437092	10.2538529607618	10.2743236841826	11.5732175553294	10.915653366074	11.155343871922
SHE	9.00255081807335	8.45479145433362	7.5171807387152	8.59458248768555	9.46783195743552	10.3718974497664	8.00024867719446	7.97297335164082	10.1458208301676	12.3376770865025	7.93714742378689	8.2015573350881	7.16459054682022	6.74262839526377	8.22908391431423	9.83703702015608	9.00816821594415	8.00688837423901	7.68240073957256	6.63918878520666	8.57841783062696	8.80079455730589	10.2776500741278	7.83009432145911	8.52314462347333	7.44604447081116	8.18661394455649
PRPH2	7.98667342559208	3.46430817299768	2.33588936335585	1.41053740898091	3.69611443154724	2.48893321167242	3.82041094165071	5.46640132467019	4.05732558486236	5.39046761202493	4.54353286193042	8.20696261773776	3.7048270942536	3.70152193143276	3.23635315228716	6.74260524859541	3.86922311496557	3.69124970579216	3.96357604185982	2.8033147570651	4.0284419291948	4.24629271490765	6.05763317187729	6.42558478757155	3.42383693837393	1.25519568180171	4.45706652804483
